day_of_week,table_slot,table_size,slope,intercept,observation_count,,,0.1,0.2,0.4,0.2,0.1,,
5,10:00,4,-4.81E-09,0.984121241,1939,,,,,,,,,
5,10:30,2,7.64E-08,0.8600855617,1958,,,,,,,,,
5,10:30,4,3.78E-08,0.9138980957,1939,,,,,,,,,
5,10:45,2,2.57E-07,0.4682338806,1970,,,,,,,,,
5,10:45,4,1.56E-07,0.5167645541,1939,,,,,,,,,
5,11:30,2,1.49E-08,0.971877734,1971,,,,,,,,,
5,11:30,4,1.12E-07,0.7565750223,1952,,,,,,,,,
5,12:00,2,3.55E-08,0.8992988494,1971,,,,,,,,,
5,12:00,4,8.28E-08,0.8154656839,1952,,,,,,,,,
5,12:30,2,1.48E-07,0.6011021579,1971,,,,,,,,,
5,12:30,4,2.24E-07,0.4942977584,1952,,,,,,,,,
5,13:00,2,5.54E-08,0.8833035814,1971,,,,,,,,,
5,13:00,4,-3.19E-09,0.005716026728,1952,,,,,,,,,
5,13:30,2,1.38E-08,0.922007899,1971,,,,,,,,,
5,13:30,4,1.30E-07,0.6551453561,1952,,,,,,,,,
5,14:00,2,6.16E-08,0.8607528501,1971,,,,,,,,,
5,14:00,4,6.31E-08,0.8437793948,1952,,,,,,,,,
5,14:30,2,1.64E-08,0.9697908071,1971,,,,,,,,,
5,14:30,4,5.68E-08,0.8812306555,1952,,,,,,,,,
5,14:45,2,-4.78E-08,0.1045016057,928,,,,,,,,,
5,14:45,4,-4.96E-08,0.1080948735,930,,,,,,,,,
5,15:00,2,2.66E-09,0.9949754666,1971,,,,,,,,,
5,15:00,4,2.26E-07,0.3779932454,1952,,,,,,,,,
5,15:15,4,-4.67E-08,0.1018064192,930,,,,,,,,,
5,15:30,2,-5.61E-08,0.1039758595,1971,,,,,,,,,
5,15:30,4,2.19E-07,0.557704352,1952,,,,,,,,,
5,15:45,2,3.44E-08,0.886551001,1971,,,,,,,,,
5,15:45,4,3.05E-07,0.1836612545,1952,,,,,,,,,
5,17:00,2,6.26E-08,0.8529390027,1989,,,,,,,,,
5,17:00,4,1.82E-07,0.636839404,1961,,,,,,,,,
5,17:30,2,8.33E-08,0.8046490861,1990,,,,,,,,,
5,17:30,4,2.28E-07,0.5025505702,1970,,,,,,,,,
5,18:00,2,2.57E-07,0.3890961396,1990,,,,,,,,,
5,18:00,4,3.67E-07,-0.02115115864,1971,,,,,,,,,
5,19:00,2,4.54E-09,0.01711789604,1942,,,,,,,,,
5,19:00,4,2.42E-07,-0.1507532196,1924,,,,,,,,,
5,19:30,2,3.64E-07,-0.04932367428,1990,,,,,,,,,
5,19:30,4,3.20E-07,-0.1579617697,1971,,,,,,,,,
5,20:00,2,3.67E-07,0.06928582733,1980,,,,,,,,,
5,20:00,4,1.67E-07,-0.07805956893,1961,,,,,,,,,
5,20:30,2,1.88E-07,-0.05906207124,1980,,,,,,,,,
5,21:00,2,1.24E-07,0.693402577,1990,,,,,,,,,
5,21:00,4,2.95E-07,-0.02185933654,1971,,,,,,,,,
5,21:30,2,2.00E-07,0.5610266605,1990,,,,,,,,,
5,21:30,4,1.09E-07,-0.04601377918,1971,,,,,,,,,
5,22:00,2,2.18E-08,0.9559619479,1990,,,,,,,,,
5,22:00,4,2.71E-08,0.9400694458,1971,,,,,,,,,
5,22:30,2,2.23E-08,0.9587554187,1990,,,,,,,,,
5,22:30,4,1.20E-08,0.9784878548,1971,,,,,,,,,
5,22:45,2,-5.04E-08,0.9624136124,2001,,,,,,,,,
5,22:45,4,-8.55E-09,0.01545213704,1971,,,,,,,,,
5,23:00,2,4.34E-08,0.8801217211,2003,,,,,,,,,
5,23:00,4,1.07E-08,0.9806849765,1976,,,,,,,,,
5,23:45,2,-2.47E-08,0.04813032966,1810,,,,,,,,,
6,9:00,2,2.02E-08,0.9587729564,1953,,,,,,,,,
6,9:00,4,7.04E-08,0.8673787829,1935,,,,,,,,,
6,9:30,2,1.00E-07,0.786792356,1953,,,,,,,,,
6,9:30,4,3.02E-07,0.321113471,1935,,,,,,,,,
6,10:00,2,-1.30E-08,0.9058895687,1953,,,,,,,,,
6,10:00,4,2.09E-07,0.4556819239,1935,,,,,,,,,
6,10:30,2,9.71E-08,0.7856926449,1953,,,,,,,,,
6,10:30,4,2.86E-07,0.2552125468,1935,,,,,,,,,
6,11:00,2,3.23E-07,-0.07994348948,1966,,,,,,,,,
6,11:00,4,3.13E-07,0.02379283903,1940,,,,,,,,,
6,11:30,2,2.82E-07,0.3003916647,1966,,,,,,,,,
6,11:30,4,1.38E-07,-0.05003580071,1948,,,,,,,,,
6,12:00,2,1.99E-07,0.5496143129,1966,,,,,,,,,
6,12:00,4,3.34E-07,-0.04129465845,1948,,,,,,,,,
6,12:30,2,3.03E-07,0.06926571923,1966,,,,,,,,,
6,12:30,4,3.62E-07,-5.34E-04,1948,,,,,,,,,
6,13:00,2,1.12E-07,0.6996568643,1966,,,,,,,,,
6,13:00,4,3.05E-07,0.07341932306,1948,,,,,,,,,
6,13:30,2,1.60E-07,0.6354149995,1966,,,,,,,,,
6,13:30,4,1.32E-07,-0.06589337878,1948,,,,,,,,,
6,14:00,2,1.41E-07,0.1122510514,1966,,,,,,,,,
6,14:00,4,3.09E-07,0.2192865807,1948,,,,,,,,,
6,14:30,2,1.46E-07,0.6675981809,1966,,,,,,,,,
6,14:30,4,2.83E-07,0.3508087118,1948,,,,,,,,,
6,15:00,2,6.28E-08,0.8047799672,1966,,,,,,,,,
6,15:00,4,1.96E-07,0.5080518721,1948,,,,,,,,,
6,15:30,2,-1.23E-08,0.8239825704,1966,,,,,,,,,
6,15:30,4,2.93E-07,0.2150588014,1948,,,,,,,,,
6,17:00,2,5.38E-08,0.8522000925,1627,,,,,,,,,
6,17:00,4,2.74E-07,0.4112184613,1601,,,,,,,,,
6,17:30,2,9.32E-08,0.7459377811,1627,,,,,,,,,
6,17:30,4,2.48E-07,0.3925089314,1606,,,,,,,,,
6,18:00,2,2.65E-07,0.3506320035,1627,,,,,,,,,
6,18:00,4,3.26E-07,0.0261994957,1606,,,,,,,,,
6,19:00,2,-7.39E-09,0.03019829057,1615,,,,,,,,,
6,19:00,4,2.68E-07,-0.1453122202,1594,,,,,,,,,
6,19:30,2,3.86E-07,-0.04808504268,1615,,,,,,,,,
6,19:30,4,2.60E-07,-0.1019637571,1594,,,,,,,,,
6,20:00,2,3.28E-07,0.146055747,1615,,,,,,,,,
6,20:00,4,1.62E-07,-0.01748336657,1594,,,,,,,,,
6,20:30,2,2.27E-07,-0.0471912291,1627,,,,,,,,,
6,21:00,2,4.12E-08,0.852161792,1627,,,,,,,,,
6,21:00,4,2.61E-07,-0.02829448657,1606,,,,,,,,,
6,21:30,2,8.36E-08,0.7916188268,1627,,,,,,,,,
6,21:30,4,2.09E-07,-0.09517583795,1606,,,,,,,,,
6,22:00,2,1.01E-09,0.9980478053,1627,,,,,,,,,
6,22:00,4,4.29E-09,0.9862362968,1606,,,,,,,,,
6,22:30,2,1.37E-09,0.9975635031,1627,,,,,,,,,
